DiscYear,FieldGOR,OrigOil,OrigGas ,OrigBOE,CumProdOil,CumProdGas,CumProdBOE,RemOil,RemGas,RemBOE,WaterDepthCat,Field    name
2005,385,84.6,26.3,89.2,0.4,0.1,0.4,84.2,26.2,88.8,ULTRA-DEEP,WR029
1974,28065,14.8,415.7,88.8,14.8,415.7,88.8,0,0,0,SHALLOW,HI334A
1973,186684,2.6,479.9,88,2.6,479.9,88,0,0,0,SHALLOW,WC643
1983,11682,28.5,333.5,87.9,27.3,329.1,85.9,1.2,4.4,2,SHALLOW,GA209
1995,1218,72,87.7,87.6,64.4,78.8,78.4,7.6,8.9,9.2,ULTRA-DEEP,MC429
1962,6457,40.7,262.9,87.5,40.5,256.4,86.1,0.2,6.5,1.4,SHALLOW,SM006
1985,1835,65.3,120,86.6,54.2,98.8,71.8,11.1,21.2,14.8,DEEP,GC254
1973,98605,4.6,459.2,86.4,4.6,458.2,86.2,0,1,0.2,SHALLOW,HI111
1971,324661,1.5,473,85.6,1.5,473,85.6,0,0,0,SHALLOW,WC639
1974,24241,15.9,385.2,84.5,15.8,384.8,84.3,0.1,0.4,0.2,SHALLOW,VR050
1968,55438,7.6,424,83.1,7.1,420.2,81.9,0.5,3.8,1.2,SHALLOW,EI322
1955,1594,63.9,101.9,82,63.9,101.9,82,0,0,0,SHALLOW,EI128
1957,1737,62.4,108.3,81.6,62.3,108.2,81.5,0.1,0.1,0.1,SHALLOW,SS107
1960,5944,39.2,236.3,81.3,38.6,232.2,79.9,0.6,4.1,1.4,SHALLOW,EI100
1990,22334,16.1,360,80.2,16.1,360,80.2,0,0,0,DEEP,EB945
1955,94170,4.5,423,79.8,4.5,423,79.8,0,0,0,SHALLOW,EC062
1987,1923,59.1,113.7,79.3,59.1,113.7,79.3,0,0,0,DEEP,VK825
1982,45109,8.8,395.3,79.1,8.7,388.3,77.8,0.1,7,1.3,SHALLOW,MC397
2000,5662,38.9,220.4,78.2,36.9,217.4,75.6,2,3,2.6,DEEP,GB668
2008,1596,54.7,129.7,77.8,15.6,25.1,20.1,39.1,104.6,57.7,ULTRA-DEEP,MC948
1973,13964,22.2,309.6,77.3,22.2,309.6,77.3,0,0,0,SHALLOW,HI474A
1971,417395,1.1,427.9,77.2,0.9,420.3,75.7,0.2,7.6,1.5,SHALLOW,BA105A
1984,78254,5.1,402,76.7,5.1,402,76.7,0,0,0,SHALLOW,EC299
1974,128149,3.2,410.9,76.3,3.2,410.9,76.3,0,0,0,SHALLOW,SM243
1979,77048,5.2,399.7,76.4,5.2,388.3,74.3,0,11.4,2.1,SHALLOW,WD086
1971,6903,33.9,234,75.5,32.3,203.3,68.4,1.6,30.7,7.1,SHALLOW,VR214
1973,18670,17.4,325.5,75.4,17.4,324.6,75.2,0,0.9,0.2,SHALLOW,EI333
1976,296006,1.4,413,74.9,1.4,413,74.9,0,0,0,SHALLOW,WC237
1995,778,64.4,50.1,73.3,40.2,32.5,46,24.2,17.6,27.3,ULTRA-DEEP,AT575
1985,6543,33.8,221.3,73.2,33.3,219.4,72.3,0.5,1.9,0.9,SHALLOW,SM239
